Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Regulation Of Activated PAK-2p34 By Proteasome Mediated Degradation R-HSA-211733,1/49,0.21800735103248,0.3687389960822807,0,0,4.177609427609427,6.363445371866637,PSMB9
Reactome_2022,Signaling By NOTCH3 R-HSA-9012852,1/49,0.21800735103248,0.3687389960822807,0,0,4.177609427609427,6.363445371866637,STAT1
Reactome_2022,Aquaporin-mediated Transport R-HSA-445717,1/50,0.2219269115603851,0.3689928316122624,0,0,4.092145949288806,6.1603458876211565,GNB4
Reactome_2022,Regulation Of Ornithine Decarboxylase (ODC) R-HSA-350562,1/50,0.2219269115603851,0.3689928316122624,0,0,4.092145949288806,6.1603458876211565,PSMB9
Reactome_2022,RAC1 GTPase Cycle R-HSA-9013149,2/178,0.2235668416141477,0.3689928316122624,0,0,2.287105751391466,3.4261869740159687,NCF2;CYBB
Reactome_2022,Autodegradation Of E3 Ubiquitin Ligase COP1 R-HSA-349425,1/51,0.2258270216564654,0.3689928316122624,0,0,4.01010101010101,5.966974015935645,PSMB9
Reactome_2022,GSK3B And BTRC:CUL1-mediated-degradation Of NFE2L2 R-HSA-9762114,1/51,0.2258270216564654,0.3689928316122624,0,0,4.01010101010101,5.966974015935645,PSMB9
Reactome_2022,Transcriptional Activity Of SMAD2/SMAD3:SMAD4 Heterotrimer R-HSA-2173793,1/51,0.2258270216564654,0.3689928316122624,0,0,4.01010101010101,5.966974015935645,STAT1
Reactome_2022,Ubiquitin Mediated Degradation Of Phosphorylated Cdc25A R-HSA-69601,1/51,0.2258270216564654,0.3689928316122624,0,0,4.01010101010101,5.966974015935645,PSMB9
Reactome_2022,Ubiquitin-dependent Degradation Of Cyclin D R-HSA-75815,1/51,0.2258270216564654,0.3689928316122624,0,0,4.01010101010101,5.966974015935645,PSMB9
Reactome_2022,Vpu Mediated Degradation Of CD4 R-HSA-180534,1/51,0.2258270216564654,0.3689928316122624,0,0,4.01010101010101,5.966974015935645,PSMB9
Reactome_2022,Regulation Of Apoptosis R-HSA-169911,1/52,0.2297077768169888,0.3724609560126365,0,0,3.9312735195088138,5.782696221966044,PSMB9
Reactome_2022,Signaling By PDGF R-HSA-186797,1/52,0.2297077768169888,0.3724609560126365,0,0,3.9312735195088138,5.782696221966044,STAT1
Reactome_2022,"Nucleotide-binding Domain, Leucine Rich Repeat Containing NLR Signaling Pathways R-HSA-168643",1/53,0.233569272224541,0.3724609560126365,0,0,3.8554778554778553,5.606931137649977,TNFAIP3
Reactome_2022,Vif-mediated Degradation Of APOBEC3G R-HSA-180585,1/53,0.233569272224541,0.3724609560126365,0,0,3.8554778554778553,5.606931137649977,PSMB9
Reactome_2022,Negative Regulation Of NOTCH4 Signaling R-HSA-9604323,1/53,0.233569272224541,0.3724609560126365,0,0,3.8554778554778553,5.606931137649977,PSMB9
Reactome_2022,Metabolism Of Proteins R-HSA-392499,12/1890,0.2338452188378669,0.3724609560126365,0,0,1.308597153645077,1.901517080776033,IFIH1;CDKN2A;CEACAM5;GNB4;PLAUR;TNFAIP3;UBE2L6;HLA-A;APOE;LYZ;B2M;PSMB9
Reactome_2022,AUF1 (hnRNP D0) Binds And Destabilizes mRNA R-HSA-450408,1/54,0.2374116024468537,0.3724609560126365,0,0,3.7825424051839143,5.43914439332398,PSMB9
Reactome_2022,SCF-beta-TrCP Mediated Degradation Of Emi1 R-HSA-174113,1/54,0.2374116024468537,0.3724609560126365,0,0,3.7825424051839143,5.43914439332398,PSMB9
Reactome_2022,Degradation Of AXIN R-HSA-4641257,1/54,0.2374116024468537,0.3724609560126365,0,0,3.7825424051839143,5.43914439332398,PSMB9
Reactome_2022,FBXL7 Down-Regulates AURKA During Mitotic Entry And In Early Mitosis R-HSA-8854050,1/54,0.2374116024468537,0.3724609560126365,0,0,3.7825424051839143,5.43914439332398,PSMB9
Reactome_2022,Interleukin-12 Family Signaling R-HSA-447115,1/54,0.2374116024468537,0.3724609560126365,0,0,3.7825424051839143,5.43914439332398,STAT1
Reactome_2022,Complement Cascade R-HSA-166658,1/55,0.2412348616553018,0.3743895881603788,0,0,3.7123082678638233,5.278844037828421,C1QA
Reactome_2022,Degradation Of DVL R-HSA-4641258,1/55,0.2412348616553018,0.3743895881603788,0,0,3.7123082678638233,5.278844037828421,PSMB9
Reactome_2022,Hh Mutants Are Degraded By ERAD R-HSA-5362768,1/55,0.2412348616553018,0.3743895881603788,0,0,3.7123082678638233,5.278844037828421,PSMB9
Reactome_2022,E3 Ubiquitin Ligases Ubiquitinate Target Proteins R-HSA-8866654,1/56,0.2450391435680432,0.3789355327320098,0,0,3.644628099173554,5.125576482532065,HLA-A
Reactome_2022,Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,1/57,0.2488245414130006,0.3814254676744318,0,0,3.5793650793650795,4.978922896997587,CTSS
Reactome_2022,Signaling By ERBB4 R-HSA-1236394,1/57,0.2488245414130006,0.3814254676744318,0,0,3.5793650793650795,4.978922896997587,APOE
Reactome_2022,Hh Mutants Abrogate Ligand Secretion R-HSA-5387390,1/58,0.2525911479606718,0.3814254676744318,0,0,3.5163919900762006,4.8384959983786695,PSMB9
Reactome_2022,Metabolism Of Polyamines R-HSA-351202,1/58,0.2525911479606718,0.3814254676744318,0,0,3.5163919900762006,4.8384959983786695,PSMB9
Reactome_2022,NIK To Noncanonical NF-kB Signaling R-HSA-5676590,1/58,0.2525911479606718,0.3814254676744318,0,0,3.5163919900762006,4.8384959983786695,PSMB9
Reactome_2022,SCF(Skp2)-mediated Degradation Of P27/P21 R-HSA-187577,1/59,0.256339055642632,0.3814254676744318,0,0,3.4555903866248694,4.703937185372145,PSMB9
Reactome_2022,Degradation Of GLI1 By Proteasome R-HSA-5610780,1/59,0.256339055642632,0.3814254676744318,0,0,3.4555903866248694,4.703937185372145,PSMB9
Reactome_2022,Degradation Of GLI2 By Proteasome R-HSA-5610783,1/59,0.256339055642632,0.3814254676744318,0,0,3.4555903866248694,4.703937185372145,PSMB9
Reactome_2022,GABA Receptor Activation R-HSA-977443,1/59,0.256339055642632,0.3814254676744318,0,0,3.4555903866248694,4.703937185372145,GNB4
Reactome_2022,GLI3 Is Processed To GLI3R By Proteasome R-HSA-5610785,1/59,0.256339055642632,0.3814254676744318,0,0,3.4555903866248694,4.703937185372145,PSMB9
Reactome_2022,Role Of GTSE1 In G2/M Progression After G2 Checkpoint R-HSA-8852276,1/59,0.256339055642632,0.3814254676744318,0,0,3.4555903866248694,4.703937185372145,PSMB9
Reactome_2022,Defective CFTR Causes Cystic Fibrosis R-HSA-5678895,1/60,0.2600683562676618,0.3851668735039725,0,0,3.396849854476973,4.574913980988086,PSMB9
Reactome_2022,Transcriptional Regulation By TP53 R-HSA-3700989,3/354,0.260632549507307,0.3851668735039725,0,0,1.722530619437836,2.3161899797868197,CDKN2A;PMAIP1;FOS
Reactome_2022,Ca2+ Pathway R-HSA-4086398,1/61,0.2637791413086752,0.385866108738704,0,0,3.34006734006734,4.451117734093463,GNB4
Reactome_2022,Dectin-1 Mediated Noncanonical NF-kB Signaling R-HSA-5607761,1/61,0.2637791413086752,0.385866108738704,0,0,3.34006734006734,4.451117734093463,PSMB9
